treatment,work_interfere,benefits,care_options,wellness_program,seek_help,condition,resources,knowledge
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Often,2,0,2,2,Yes,Poor,Not knowledgable
No,Sometimes,1,2,0,1,Yes,Good,Somewhat knowledgeable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
No,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,N/A,2,2,2,0,No,Poor,Not knowledgable
No,Never,0,0,1,0,Yes,Poor,Not knowledgable
No,N/A,2,1,2,2,No,Poor,Not knowledgable
No,N/A,1,1,1,1,No,Good,Knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,2,0,0,Yes,Poor,Not knowledgable
No,Sometimes,1,1,2,1,Yes,Good,Knowledgeable
No,Never,1,0,1,0,Yes,Good,Somewhat knowledgeable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,0,2,2,No,Poor,Not knowledgable
Yes,Rarely,1,0,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
No,Never,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
No,N/A,1,1,2,2,No,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
No,Rarely,0,0,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Often,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,1,0,0,0,Yes,Poor,Not knowledgable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,Never,1,0,1,0,Yes,Good,Somewhat knowledgeable
No,Rarely,1,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,1,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,1,2,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Rarely,1,1,2,1,Yes,Good,Knowledgeable
No,Never,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
No,Never,1,1,2,1,Yes,Good,Knowledgeable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
Yes,Sometimes,0,2,0,0,Yes,Poor,Not knowledgable
No,Often,1,2,2,2,Yes,Poor,Not knowledgable
No,Never,1,2,1,1,Yes,Good,Knowledgeable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
Yes,Rarely,1,1,2,1,Yes,Good,Knowledgeable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
No,N/A,2,1,2,2,No,Poor,Not knowledgable
Yes,Never,0,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,0,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
No,N/A,0,2,0,2,No,Poor,Not knowledgable
Yes,Sometimes,0,2,0,0,Yes,Poor,Not knowledgable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,2,1,1,1,Yes,Good,Knowledgeable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
No,Never,0,0,2,2,Yes,Poor,Not knowledgable
No,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
No,Never,1,2,2,1,Yes,Good,Somewhat knowledgeable
No,Rarely,0,2,2,2,Yes,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,2,1,2,2,No,Poor,Not knowledgable
No,Rarely,0,0,1,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,0,0,Yes,Good,Somewhat knowledgeable
Yes,Never,0,0,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
No,Never,0,0,2,0,Yes,Poor,Not knowledgable
Yes,Often,1,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Often,1,0,2,0,Yes,Poor,Not knowledgable
No,N/A,1,2,2,2,No,Poor,Not knowledgable
No,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
No,N/A,2,1,2,2,No,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
Yes,Never,1,0,0,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,2,2,Yes,Poor,Not knowledgable
No,Rarely,1,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,1,2,2,No,Good,Somewhat knowledgeable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,2,0,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Often,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,2,0,Yes,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,N/A,1,1,1,1,No,Good,Knowledgeable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,0,2,2,No,Poor,Not knowledgable
No,N/A,1,2,2,2,No,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
No,Rarely,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
No,N/A,0,2,0,2,No,Poor,Not knowledgable
No,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,1,0,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,1,Yes,Good,Somewhat knowledgeable
Yes,Rarely,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,Sometimes,0,0,2,0,Yes,Poor,Not knowledgable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,Never,1,1,0,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,2,2,0,No,Poor,Not knowledgable
Yes,Rarely,1,1,1,0,Yes,Good,Knowledgeable
No,Sometimes,0,2,0,0,Yes,Poor,Not knowledgable
No,Often,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
No,Never,2,1,2,1,Yes,Good,Somewhat knowledgeable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
Yes,Often,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,1,Yes,Good,Knowledgeable
Yes,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
No,N/A,2,1,2,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,0,2,Yes,Good,Somewhat knowledgeable
Yes,Often,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,1,1,1,No,Good,Knowledgeable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,2,1,1,No,Good,Knowledgeable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,0,0,0,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,1,0,Yes,Good,Knowledgeable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,0,0,Yes,Good,Somewhat knowledgeable
No,Never,1,2,2,0,Yes,Poor,Not knowledgable
Yes,Never,1,0,0,0,Yes,Poor,Not knowledgable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,1,0,Yes,Good,Knowledgeable
No,N/A,1,2,0,1,No,Good,Somewhat knowledgeable
Yes,Sometimes,1,2,1,1,Yes,Good,Knowledgeable
No,Never,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,0,0,0,Yes,Poor,Not knowledgable
No,Rarely,1,0,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,0,1,Yes,Good,Knowledgeable
Yes,Often,1,2,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,0,2,2,Yes,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
No,Sometimes,1,0,1,1,Yes,Good,Knowledgeable
Yes,Rarely,1,0,0,1,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,0,2,0,Yes,Poor,Not knowledgable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
Yes,Often,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,2,1,2,2,No,Poor,Not knowledgable
Yes,Rarely,1,1,0,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,2,2,0,Yes,Poor,Not knowledgable
No,Never,1,0,0,1,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,2,1,Yes,Good,Knowledgeable
Yes,Rarely,1,2,0,2,Yes,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
No,Never,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,0,0,0,1,Yes,Poor,Not knowledgable
No,N/A,1,0,1,1,No,Good,Knowledgeable
Yes,Sometimes,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,Never,1,0,1,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
No,N/A,1,1,0,0,No,Good,Somewhat knowledgeable
No,N/A,1,1,1,1,No,Good,Knowledgeable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
No,Rarely,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Never,0,2,1,1,Yes,Good,Somewhat knowledgeable
No,Sometimes,0,2,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,0,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,Never,2,2,2,0,Yes,Poor,Not knowledgable
Yes,Often,1,0,0,1,Yes,Good,Somewhat knowledgeable
No,Sometimes,1,1,1,2,Yes,Good,Knowledgeable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,0,1,Yes,Good,Knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
Yes,Often,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,0,0,2,0,Yes,Poor,Not knowledgable
No,N/A,1,2,1,1,No,Good,Knowledgeable
Yes,Often,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,2,2,0,Yes,Poor,Not knowledgable
No,N/A,1,2,1,1,No,Good,Knowledgeable
Yes,Often,1,2,1,1,Yes,Good,Knowledgeable
Yes,Rarely,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Rarely,0,0,0,2,Yes,Poor,Not knowledgable
Yes,Never,1,1,0,0,Yes,Good,Somewhat knowledgeable
Yes,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Never,1,1,2,1,Yes,Good,Knowledgeable
Yes,Never,1,0,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,2,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,2,0,Yes,Good,Somewhat knowledgeable
No,Never,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,2,1,Yes,Good,Knowledgeable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Often,0,2,0,0,Yes,Poor,Not knowledgable
No,N/A,0,2,2,2,No,Poor,Not knowledgable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Often,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,1,2,1,No,Good,Knowledgeable
Yes,Never,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
Yes,Often,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
No,Often,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,0,2,No,Poor,Not knowledgable
Yes,Sometimes,1,1,1,2,Yes,Good,Knowledgeable
Yes,Sometimes,2,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,N/A,1,1,1,1,No,Good,Knowledgeable
Yes,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,2,0,Yes,Good,Somewhat knowledgeable
Yes,Rarely,1,1,1,1,Yes,Good,Knowledgeable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,Rarely,1,2,1,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,1,2,0,2,No,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Often,1,2,2,0,Yes,Poor,Not knowledgable
No,N/A,1,0,0,0,No,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Rarely,1,1,1,2,Yes,Good,Knowledgeable
No,Never,1,1,1,0,Yes,Good,Knowledgeable
Yes,Often,1,1,1,2,Yes,Good,Knowledgeable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,0,Yes,Poor,Not knowledgable
No,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
No,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,1,2,2,2,Yes,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,2,2,2,No,Poor,Not knowledgable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
No,Never,1,0,1,1,Yes,Good,Knowledgeable
No,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,1,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Rarely,1,1,1,1,Yes,Good,Knowledgeable
No,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,1,Yes,Good,Knowledgeable
No,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,0,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,2,0,2,2,Yes,Poor,Not knowledgable
No,N/A,0,0,2,2,No,Poor,Not knowledgable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,1,0,0,0,No,Poor,Not knowledgable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
Yes,Often,1,0,0,2,Yes,Poor,Not knowledgable
No,Rarely,0,0,0,0,Yes,Poor,Not knowledgable
Yes,N/A,1,1,2,2,No,Good,Somewhat knowledgeable
No,N/A,2,0,2,0,No,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,1,0,1,0,No,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,0,2,0,No,Poor,Not knowledgable
No,Never,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,0,1,1,Yes,Good,Knowledgeable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
Yes,Rarely,1,0,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Often,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,1,1,0,1,Yes,Good,Knowledgeable
No,Rarely,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Rarely,1,1,1,1,Yes,Good,Knowledgeable
Yes,Sometimes,2,1,1,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,1,2,1,Yes,Good,Knowledgeable
No,N/A,2,2,2,2,No,Poor,Not knowledgable
Yes,Rarely,1,1,1,1,Yes,Good,Knowledgeable
No,Rarely,0,2,2,0,Yes,Poor,Not knowledgable
No,Never,0,0,0,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,1,1,1,Yes,Good,Knowledgeable
Yes,Never,0,2,2,0,Yes,Poor,Not knowledgable
No,Never,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,0,Yes,Good,Somewhat knowledgeable
Yes,Rarely,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Never,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,2,2,0,Yes,Poor,Not knowledgable
Yes,Rarely,2,0,2,2,Yes,Poor,Not knowledgable
No,N/A,0,0,2,2,No,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,1,2,2,1,Yes,Good,Somewhat knowledgeable
No,N/A,1,1,1,1,No,Good,Knowledgeable
No,Often,2,2,0,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,1,2,Yes,Good,Somewhat knowledgeable
Yes,Rarely,2,2,2,2,Yes,Poor,Not knowledgable
No,Sometimes,1,1,1,1,Yes,Good,Knowledgeable
No,N/A,0,2,0,0,No,Poor,Not knowledgable
Yes,Sometimes,2,0,2,0,Yes,Poor,Not knowledgable
No,N/A,0,0,0,0,No,Poor,Not knowledgable
Yes,Sometimes,0,2,2,0,Yes,Poor,Not knowledgable
No,Never,0,0,0,0,Yes,Poor,Not knowledgable
Yes,Rarely,0,0,2,0,Yes,Poor,Not knowledgable
No,Never,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,0,1,0,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,1,2,2,1,Yes,Good,Somewhat knowledgeable
No,Sometimes,1,0,0,0,Yes,Poor,Not knowledgable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Rarely,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,1,1,1,Yes,Good,Knowledgeable
No,Sometimes,0,0,0,1,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
No,Never,2,1,2,2,Yes,Poor,Not knowledgable
No,Never,0,2,2,0,Yes,Poor,Not knowledgable
No,N/A,0,2,0,2,No,Poor,Not knowledgable
No,Sometimes,0,0,2,2,Yes,Poor,Not knowledgable
Yes,Often,1,2,2,2,Yes,Poor,Not knowledgable
No,N/A,0,2,2,0,No,Poor,Not knowledgable
No,Never,2,1,2,2,Yes,Poor,Not knowledgable
No,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Often,2,2,2,2,Yes,Poor,Not knowledgable
No,Never,1,1,1,2,Yes,Good,Knowledgeable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,1,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,1,1,2,2,Yes,Good,Somewhat knowledgeable
Yes,Sometimes,0,2,2,2,Yes,Poor,Not knowledgable
Yes,Sometimes,2,2,2,2,Yes,Poor,Not knowledgable
