,treatment,work_interfere,benefits,care_options,wellness_program,seek_help,condition,resources,knowledge
101,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
102,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
103,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
104,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
105,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
106,No,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
107,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
108,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
109,Yes,Often,No,Don't know,No,No,Yes,Poor,Knowledgeable
110,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
111,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
112,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
113,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
114,No,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
115,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
116,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
117,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
118,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
119,No,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
120,No,Never,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
121,Yes,Sometimes,Yes,No,No,Yes,Yes,Good,Knowledgeable
122,Yes,Rarely,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
123,No,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
124,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
125,Yes,Often,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
126,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
127,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
128,No,Never,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
129,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
130,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
131,Yes,Rarely,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
132,No,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
133,No,Often,No,No,No,No,Yes,Poor,Knowledgeable
134,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
135,No,Never,No,Yes,No,Yes,Yes,Poor,Knowledgeable
136,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
137,Yes,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
138,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
139,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
140,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
141,Yes,Sometimes,Yes,Yes,Don't know,No,Yes,Poor,Knowledgeable
142,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
143,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
144,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
145,Yes,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
146,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
147,No,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
148,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
149,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
150,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
151,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
152,Yes,Rarely,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
153,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
154,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
155,Yes,Rarely,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
156,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
157,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
158,No,Never,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
159,Yes,Never,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
160,Yes,Sometimes,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
161,Yes,Sometimes,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
162,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
163,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
164,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
165,No,Rarely,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
166,Yes,Rarely,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
167,Yes,Often,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
168,Yes,Rarely,Yes,Don't know,No,No,Yes,Poor,Knowledgeable
169,No,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
170,Yes,Rarely,Yes,Don't know,Don't know,Yes,Yes,Good,Somewhat knowledgeable
171,Yes,Sometimes,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
172,Yes,Often,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
173,Yes,Rarely,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
174,Yes,Sometimes,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
175,No,Never,Yes,Don't know,Don't know,Yes,Yes,Good,Somewhat knowledgeable
176,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
177,Yes,Rarely,Yes,No,Don't know,No,Yes,Poor,Knowledgeable
178,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
179,Yes,Sometimes,Don't know,Don't know,Don't know,Yes,Yes,Poor,Not knowledgeable
180,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
181,No,Never,Yes,Don't know,Yes,Don't know,Yes,Good,Somewhat knowledgeable
182,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
183,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
184,No,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
185,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
186,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
187,Yes,Never,Don't know,No,Yes,Yes,Yes,Good,Knowledgeable
188,No,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
189,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
190,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
191,No,Never,No,No,No,Don't know,Yes,Poor,Knowledgeable
192,Yes,Often,Yes,Don't know,Don't know,Yes,Yes,Good,Somewhat knowledgeable
193,No,Sometimes,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
194,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
195,Yes,Sometimes,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
196,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
197,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
198,Yes,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
199,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
200,Yes,Rarely,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
201,Yes,Often,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
202,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
203,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
204,Yes,Rarely,Don't know,Don't know,Don't know,No,Yes,Poor,Not knowledgeable
205,Yes,Never,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
206,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
207,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
208,Yes,Never,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
209,Yes,Never,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
210,Yes,Rarely,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
211,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
212,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
213,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
214,Yes,Rarely,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
215,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
216,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
217,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
218,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
219,Yes,Often,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
220,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
221,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
222,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
223,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
224,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
225,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
226,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
227,Yes,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
228,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
229,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
230,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
231,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
232,No,Often,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
233,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
234,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
235,Yes,Sometimes,No,Yes,No,Don't know,Yes,Poor,Knowledgeable
236,Yes,Rarely,Yes,No,No,No,Yes,Poor,Knowledgeable
237,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
238,Yes,Sometimes,No,No,No,Don't know,Yes,Poor,Knowledgeable
239,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
240,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
241,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
242,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
243,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
244,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
245,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
246,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
247,No,Rarely,Yes,No,Yes,Don't know,Yes,Good,Knowledgeable
248,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
249,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
250,No,Often,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
251,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
252,Yes,Rarely,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
253,No,Never,Yes,Yes,Yes,Don't know,Yes,Good,Knowledgeable
254,Yes,Often,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
255,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
256,Yes,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
257,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
258,No,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
259,No,Never,Yes,No,No,No,Yes,Poor,Knowledgeable
260,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
261,No,Never,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
262,No,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
263,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
264,Yes,Sometimes,Don't know,No,Yes,Don't know,Yes,Poor,Somewhat knowledgeable
265,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
266,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
267,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
268,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
269,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
270,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
271,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
272,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
273,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
274,Yes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
275,Yes,Sometimes,No,Don't know,No,No,Yes,Poor,Knowledgeable
276,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
277,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
278,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
279,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
280,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
281,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
282,Yes,Often,Yes,Don't know,Don't know,No,Yes,Poor,Somewhat knowledgeable
283,No,Rarely,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
284,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
285,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
286,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
287,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
288,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
289,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
290,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
291,Yes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
292,Yes,Rarely,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
293,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
294,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
295,No,Never,Yes,Yes,Don't know,Yes,Yes,Good,Knowledgeable
296,No,Rarely,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
297,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
298,Yes,Sometimes,No,Yes,Yes,No,Yes,Poor,Knowledgeable
299,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
300,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
301,No,Rarely,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
302,No,Never,Don't know,Don't know,Don't know,No,Yes,Poor,Not knowledgeable
303,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
304,Yes,Often,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
305,Yes,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
306,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
307,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
308,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
309,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
310,Yes,Often,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
311,Yes,Rarely,No,Don't know,No,No,Yes,Poor,Knowledgeable
312,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
313,Yes,Sometimes,Yes,No,No,Yes,Yes,Good,Knowledgeable
314,No,Often,No,No,Don't know,No,Yes,Poor,Knowledgeable
315,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
316,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
317,Yes,Sometimes,No,Yes,Yes,No,Yes,Poor,Knowledgeable
318,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
319,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
320,Yes,Sometimes,No,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
321,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
322,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
323,Yes,Rarely,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
324,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
325,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
326,Yes,Sometimes,Yes,Don't know,Yes,Don't know,Yes,Good,Somewhat knowledgeable
327,Yes,Sometimes,Yes,No,No,Yes,Yes,Good,Knowledgeable
328,No,Sometimes,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
329,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
330,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
331,Yes,Often,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
332,No,Sometimes,Don't know,Don't know,Don't know,Yes,Yes,Poor,Not knowledgeable
333,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
334,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
335,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
336,No,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
337,Yes,Often,Yes,No,No,No,Yes,Poor,Knowledgeable
338,No,Never,No,Yes,No,No,Yes,Poor,Knowledgeable
339,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
340,Yes,Often,No,No,No,No,Yes,Poor,Knowledgeable
341,No,Never,Yes,Yes,Yes,No,Yes,Good,Knowledgeable
342,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
343,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
344,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
345,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
346,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
347,Yes,Sometimes,Yes,Don't know,Yes,Yes,Yes,Good,Knowledgeable
